0.561961,0.873802,0.837304,0.987117,0.475105,1
0.752569,0.427396,0.0825104,0.250514,0.385986,0
0.864861,0.726783,0.260598,0.0430126,0.912016,0
0.90495,0.500955,0.252389,0.55562,0.312775,0
0.426013,0.000288223,0.817363,0.84417,0.97166,1
0.792405,0.945432,0.692199,0.883174,0.500429,1
0.906875,0.841407,0.710829,0.528373,0.360573,1
0.580672,0.346319,0.155803,0.583166,0.267022,0
0.034113,0.337123,0.830846,0.0313205,0.404179,1
0.320594,0.227715,0.0379794,0.201531,0.128959,0
0.88192,0.424384,0.41131,0.629636,0.287654,0
0.398082,0.562874,0.592693,0.215434,0.804787,1
0.544963,0.196939,0.0523321,0.953437,0.412404,0
0.360842,0.679437,0.268362,0.29068,0.466942,0
0.197479,0.0215848,0.900767,0.77524,0.464608,1
0.96334,0.855267,0.674598,0.464233,0.366802,1
0.900553,0.593357,0.846844,0.554767,0.968316,1
0.034097,0.068444,0.492356,0.339054,0.473468,0
0.421334,0.358848,0.578951,0.159856,0.703229,1
0.874802,0.798064,0.165697,0.0655826,0.247321,0
0.0601508,0.955236,0.732139,0.657079,0.526054,1
0.850949,0.903436,0.393042,0.0462215,0.844254,0
0.451491,0.214502,0.383498,0.135981,0.428967,0
0.324371,0.707474,0.642847,0.516538,0.453336,1
0.272242,0.574283,0.217842,0.982198,0.79482,0
0.823987,0.748415,0.533398,0.603441,0.0367577,1
0.401426,0.762082,0.786541,0.319181,0.477744,1
0.417778,0.593124,0.445792,0.628364,0.906921,0
0.308062,0.605874,0.61387,0.923824,0.707004,1
0.886786,0.214576,0.61801,0.386102,0.222942,1
0.427244,0.68384,0.992172,0.305289,0.983973,1
0.645739,0.939938,0.636797,0.536039,0.210763,1
0.0963457,0.282303,0.290063,0.674723,0.0701751,0
0.150152,0.606366,0.433221,0.188853,0.0566349,0
0.899954,0.522878,0.862908,0.015865,0.642851,1
0.717331,0.181906,0.397556,0.29072,0.124279,0
0.48849,0.046165,0.759594,0.895511,0.846668,1
0.81091,0.960393,0.951914,0.320563,0.706291,1
0.679973,0.30492,0.627934,0.797494,0.487555,1
0.604757,0.148951,0.329125,0.418583,0.120463,0
0.569567,0.72004,0.619062,0.71699,0.451258,1
0.528446,0.584046,0.296872,0.06361,0.0938743,0
0.487089,0.499743,0.745492,0.174565,0.918707,1
0.767664,0.133447,0.706359,0.841176,0.640256,1
0.698552,0.571082,0.782037,0.181074,0.316276,1
0.8761,0.617583,0.64282,0.710499,0.34973,1
